Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Motivation_Level,Internet_Access,Tutoring_Sessions,Family_Income,School_Type,Peer_Influence,Physical_Activity,Parental_Education_Level,Distance_from_Home,Gender,Exam_Score
24.0,77,3.0,1.0,0,8.0,96,2,1.0,0,2,1,0,3,,1.0,1,67
26.0,67,2.0,3.0,1,7.0,51,1,1.0,2,3,1,0,4,3.0,3.0,1,66
,88,2.0,3.0,1,5.0,79,2,,1,1,1,1,4,1.0,2.0,0,72
15.0,83,2.0,3.0,0,5.0,89,1,0.0,1,2,1,0,2,,1.0,1,65
18.0,94,2.0,,1,6.0,87,3,1.0,1,2,1,1,4,,1.0,0,71
22.0,65,3.0,,0,8.0,82,2,1.0,2,2,1,1,1,3.0,1.0,1,66
26.0,91,,1.0,1,8.0,71,2,1.0,0,1,1,0,3,,2.0,0,68
17.0,87,2.0,,0,,96,2,1.0,1,3,1,-1,5,3.0,1.0,1,70
19.0,65,2.0,2.0,1,10.0,66,1,1.0,0,1,1,1,3,,2.0,0,62
13.0,88,1.0,,1,9.0,88,3,1.0,2,1,1,-1,4,3.0,3.0,0,68
,78,2.0,3.0,1,9.0,96,3,1.0,2,1,1,0,3,1.0,2.0,0,67
25.0,98,1.0,3.0,1,8.0,56,2,0.0,0,2,1,0,3,3.0,1.0,0,71
28.0,66,2.0,3.0,1,8.0,97,2,1.0,0,2,1,0,2,,1.0,0,68
20.0,86,2.0,2.0,1,8.0,89,2,1.0,1,1,1,-1,3,3.0,1.0,0,69
26.0,75,1.0,3.0,1,4.0,81,3,1.0,3,2,1,1,2,,2.0,0,70
22.0,98,2.0,3.0,0,5.0,69,1,0.0,1,1,1,-1,4,,2.0,1,69
16.0,73,2.0,2.0,0,7.0,95,2,1.0,1,1,1,-1,4,1.0,1.0,0,65
22.0,98,2.0,1.0,1,7.0,52,2,0.0,3,2,1,1,3,1.0,1.0,1,70
29.0,96,2.0,1.0,1,7.0,72,2,1.0,1,1,1,1,3,,2.0,0,71
20.0,71,2.0,,1,7.0,88,2,1.0,1,1,1,0,4,1.0,1.0,1,65
29.0,92,1.0,,0,4.0,91,2,1.0,2,2,1,-1,1,3.0,1.0,1,72
4.0,100,3.0,3.0,1,8.0,60,3,1.0,0,2,1,1,4,1.0,2.0,0,69
25.0,70,,2.0,0,7.0,52,2,1.0,1,2,1,1,3,3.0,1.0,1,66
21.0,77,1.0,2.0,1,7.0,90,2,,4,2,1,0,3,3.0,2.0,0,68
18.0,81,3.0,1.0,1,8.0,71,2,1.0,0,2,1,0,3,,2.0,1,65
21.0,72,2.0,2.0,1,5.0,57,2,1.0,1,3,1,0,5,1.0,2.0,0,64
8.0,61,2.0,,1,7.0,54,2,1.0,1,3,1,1,3,1.0,1.0,0,60
19.0,69,,3.0,1,7.0,82,3,1.0,1,1,1,-1,2,,1.0,0,65
22.0,71,3.0,2.0,0,6.0,79,3,1.0,1,1,1,1,3,,1.0,0,66
,78,,3.0,1,4.0,93,1,1.0,5,2,1,0,3,1.0,1.0,0,74
,67,2.0,2.0,1,5.0,52,3,1.0,2,2,1,-1,3,,3.0,1,62
15.0,95,2.0,2.0,0,7.0,93,2,1.0,2,1,1,1,4,1.0,2.0,0,70
,88,2.0,3.0,1,7.0,94,1,1.0,0,2,1,0,3,,1.0,0,69
25.0,63,2.0,3.0,1,7.0,72,2,1.0,3,2,1,-1,4,1.0,3.0,0,67
22.0,86,,1.0,0,6.0,54,2,1.0,2,2,1,0,0,,2.0,0,64
17.0,86,2.0,3.0,0,5.0,97,3,,3,3,1,0,3,1.0,1.0,0,71
23.0,98,2.0,,1,7.0,54,1,1.0,0,2,1,-1,3,1.0,1.0,1,68
21.0,60,,2.0,0,7.0,80,2,1.0,0,2,1,0,4,1.0,1.0,0,64
26.0,70,2.0,1.0,1,8.0,75,2,1.0,1,2,1,0,4,,3.0,1,63
16.0,97,2.0,2.0,1,6.0,92,1,1.0,0,3,1,1,4,1.0,1.0,0,71
18.0,97,3.0,2.0,1,4.0,75,1,1.0,0,1,1,1,3,,2.0,0,69
18.0,89,3.0,2.0,1,4.0,73,2,1.0,3,3,1,1,2,1.0,1.0,1,100
11.0,91,2.0,2.0,0,6.0,94,2,1.0,3,2,1,0,3,1.0,2.0,0,68
22.0,64,1.0,2.0,0,7.0,98,1,0.0,1,2,1,-1,3,,1.0,0,62
22.0,81,2.0,2.0,1,7.0,77,1,1.0,2,2,1,1,3,3.0,3.0,1,68
20.0,69,3.0,,1,,73,2,1.0,2,1,1,1,3,,3.0,0,66
19.0,67,1.0,,0,5.0,92,3,1.0,0,2,1,1,3,1.0,1.0,0,64
12.0,92,2.0,2.0,0,4.0,92,3,1.0,2,2,1,0,3,,2.0,0,67
,65,2.0,3.0,1,8.0,66,2,1.0,1,3,1,0,4,3.0,2.0,1,65
18.0,79,2.0,2.0,1,7.0,79,2,1.0,0,1,1,0,3,1.0,3.0,0,65
15.0,98,3.0,,0,6.0,58,3,1.0,0,1,1,1,3,1.0,1.0,0,69
19.0,67,2.0,2.0,0,5.0,82,3,1.0,1,1,1,-1,3,,1.0,0,63
22.0,99,2.0,1.0,1,6.0,92,1,1.0,3,2,1,-1,4,3.0,2.0,0,72
31.0,100,2.0,2.0,0,7.0,59,2,1.0,2,3,1,1,5,3.0,2.0,0,76
,82,2.0,,1,7.0,66,3,1.0,3,1,1,1,3,1.0,1.0,1,69
22.0,67,2.0,2.0,1,7.0,72,3,1.0,3,1,1,1,2,3.0,2.0,1,67
20.0,73,3.0,2.0,1,9.0,92,2,1.0,2,2,1,1,3,1.0,1.0,0,69
8.0,77,3.0,,1,6.0,87,2,1.0,0,1,1,0,2,,2.0,0,63
20.0,72,2.0,2.0,0,9.0,66,2,1.0,3,1,1,1,3,3.0,1.0,0,67
,71,1.0,3.0,1,,62,3,1.0,2,2,1,-1,5,1.0,1.0,0,66
35.0,99,3.0,3.0,1,7.0,85,1,1.0,2,2,1,0,2,3.0,1.0,1,79
19.0,66,2.0,2.0,0,8.0,74,2,1.0,1,3,1,0,3,,1.0,1,64
22.0,89,3.0,3.0,1,6.0,80,2,1.0,1,3,1,1,3,,1.0,1,73
20.0,60,1.0,3.0,0,7.0,82,3,,2,1,1,1,4,,1.0,0,63
13.0,84,2.0,2.0,0,5.0,78,2,1.0,1,1,1,1,2,,1.0,0,65
27.0,97,,3.0,1,8.0,81,2,1.0,0,3,1,1,5,,1.0,1,73
25.0,72,3.0,3.0,1,8.0,94,1,1.0,2,1,1,1,4,1.0,2.0,1,70
25.0,67,3.0,2.0,0,9.0,93,3,1.0,2,1,1,1,3,,1.0,1,68
15.0,86,2.0,2.0,1,7.0,57,2,1.0,1,2,1,-1,3,1.0,1.0,0,65
28.0,89,1.0,3.0,1,9.0,79,3,1.0,0,1,1,1,1,1.0,2.0,1,71
12.0,88,,2.0,0,6.0,72,1,1.0,2,2,1,1,2,1.0,3.0,0,64
24.0,73,2.0,3.0,1,8.0,64,2,1.0,4,3,1,0,3,1.0,2.0,0,68
33.0,70,2.0,2.0,1,6.0,82,1,1.0,1,1,1,0,4,1.0,1.0,0,69
14.0,98,2.0,2.0,0,7.0,76,2,1.0,0,2,1,1,4,1.0,2.0,1,69
17.0,97,2.0,2.0,0,8.0,89,2,1.0,1,1,1,0,4,,3.0,0,69
21.0,78,2.0,2.0,1,10.0,55,2,1.0,1,3,1,1,2,1.0,1.0,0,67
17.0,94,1.0,2.0,1,8.0,65,1,1.0,4,2,1,0,6,,3.0,1,68
11.0,78,,,1,8.0,51,2,1.0,2,1,1,0,3,3.0,1.0,0,64
20.0,77,2.0,2.0,0,6.0,87,1,1.0,0,1,1,1,4,,1.0,1,66
14.0,66,3.0,1.0,0,7.0,96,2,1.0,3,1,1,-1,3,,1.0,0,63
23.0,77,2.0,2.0,1,7.0,79,2,1.0,0,1,1,0,2,,2.0,0,66
14.0,81,,,0,9.0,81,2,1.0,1,1,1,-1,3,3.0,1.0,1,66
29.0,61,2.0,3.0,1,7.0,52,1,,3,1,1,1,3,1.0,1.0,1,67
,78,3.0,3.0,0,9.0,75,1,1.0,1,1,1,-1,1,,1.0,0,65
18.0,91,1.0,2.0,1,5.0,76,2,1.0,1,2,1,0,3,,1.0,1,68
25.0,87,2.0,1.0,0,9.0,52,3,1.0,1,1,1,1,2,,1.0,0,68
13.0,85,3.0,2.0,0,6.0,89,2,,0,3,1,0,1,,1.0,0,65
,96,,,0,8.0,64,3,1.0,2,2,1,0,0,1.0,1.0,0,71
28.0,61,2.0,3.0,0,6.0,86,3,1.0,1,1,1,-1,3,3.0,3.0,0,65
10.0,82,2.0,1.0,0,8.0,70,2,1.0,3,1,1,1,1,3.0,1.0,1,64
21.0,91,3.0,,0,6.0,100,2,1.0,0,3,1,0,2,3.0,1.0,1,72
22.0,82,2.0,2.0,0,9.0,61,2,1.0,2,1,1,-1,2,,1.0,1,65
25.0,73,2.0,3.0,0,8.0,53,3,0.0,0,1,1,-1,5,3.0,1.0,1,66
,65,1.0,3.0,0,6.0,99,2,1.0,0,1,1,-1,4,,1.0,0,61
12.0,96,1.0,3.0,1,8.0,62,2,1.0,2,2,1,-1,3,1.0,1.0,1,68
,79,3.0,3.0,1,8.0,82,1,1.0,3,2,1,-1,3,3.0,2.0,1,69
22.0,95,2.0,3.0,1,6.0,69,2,1.0,1,1,1,1,3,1.0,1.0,1,72
22.0,83,2.0,3.0,1,5.0,82,2,1.0,2,1,1,1,3,3.0,1.0,1,71
22.0,87,3.0,3.0,0,5.0,80,1,1.0,2,1,1,-1,3,,1.0,1,70
16.0,92,2.0,3.0,1,5.0,85,1,1.0,1,1,1,0,2,,2.0,0,68
21.0,86,1.0,2.0,1,,51,2,1.0,2,1,1,1,2,,2.0,1,67
22.0,76,2.0,2.0,1,8.0,92,2,1.0,1,1,1,0,4,,1.0,1,68
,81,2.0,,1,8.0,74,2,1.0,3,2,1,1,2,3.0,1.0,1,68
,92,2.0,2.0,1,4.0,76,2,1.0,2,2,1,1,4,,3.0,0,72
23.0,75,1.0,3.0,0,6.0,71,1,1.0,0,2,1,0,2,1.0,1.0,0,65
13.0,76,,3.0,0,5.0,99,1,1.0,2,2,1,1,4,,1.0,1,66
,64,2.0,2.0,1,8.0,90,3,,0,1,1,-1,3,,1.0,0,65
14.0,97,2.0,2.0,1,6.0,66,2,1.0,2,2,1,-1,3,1.0,1.0,1,67
25.0,64,2.0,3.0,0,5.0,89,1,1.0,2,2,1,0,4,1.0,3.0,0,66
27.0,86,2.0,2.0,0,,72,1,,1,2,1,1,4,,3.0,0,69
15.0,77,,2.0,1,8.0,94,1,1.0,0,3,1,1,3,1.0,2.0,0,66
26.0,76,2.0,3.0,1,6.0,52,2,1.0,4,3,1,0,3,,1.0,0,69
22.0,87,3.0,1.0,1,7.0,68,2,0.0,0,1,1,0,2,,1.0,0,67
25.0,63,3.0,2.0,1,6.0,71,2,1.0,1,2,1,1,3,,1.0,0,66
31.0,84,2.0,2.0,1,9.0,87,2,1.0,2,1,1,0,3,1.0,3.0,0,71
19.0,91,3.0,1.0,0,6.0,59,2,1.0,5,2,1,0,4,1.0,2.0,0,70
15.0,93,3.0,2.0,0,6.0,64,2,1.0,2,2,1,1,4,3.0,1.0,0,71
15.0,67,2.0,2.0,1,7.0,86,3,1.0,1,3,1,1,3,3.0,1.0,0,66
15.0,96,,2.0,0,7.0,54,3,0.0,3,2,1,-1,2,,1.0,0,67
20.0,86,3.0,1.0,0,8.0,60,2,1.0,1,2,1,0,4,1.0,3.0,1,66
22.0,95,2.0,3.0,0,9.0,88,1,1.0,0,1,1,1,2,3.0,1.0,0,72
22.0,79,2.0,2.0,0,9.0,94,2,1.0,1,2,1,1,3,,1.0,0,68
25.0,82,2.0,2.0,0,6.0,86,2,0.0,3,1,1,1,3,,1.0,1,69
,97,2.0,2.0,1,7.0,76,1,1.0,2,1,1,1,3,3.0,1.0,0,71
29.0,96,2.0,2.0,1,9.0,55,1,0.0,0,2,1,0,2,3.0,3.0,1,70
18.0,78,,2.0,0,9.0,91,3,1.0,2,3,1,0,4,1.0,3.0,1,67
36.0,71,2.0,2.0,1,6.0,56,2,1.0,2,3,1,1,2,,3.0,0,69
24.0,76,1.0,3.0,0,8.0,69,1,1.0,2,2,1,0,1,,2.0,0,65
15.0,76,3.0,3.0,0,8.0,53,2,,1,1,1,0,4,1.0,1.0,0,65
14.0,71,2.0,,1,,85,1,,2,2,1,0,4,,1.0,0,64
23.0,71,1.0,1.0,1,9.0,75,1,1.0,1,1,1,-1,2,1.0,1.0,0,63
19.0,94,1.0,2.0,1,5.0,95,2,1.0,3,1,1,1,2,,2.0,0,69
,63,2.0,1.0,1,6.0,57,2,1.0,1,1,1,0,5,1.0,1.0,1,64
,87,3.0,3.0,1,,91,3,1.0,0,3,1,1,3,,2.0,0,72
20.0,67,1.0,2.0,1,7.0,76,2,1.0,0,2,1,0,4,,1.0,0,63
15.0,74,1.0,3.0,1,4.0,68,1,1.0,3,1,1,1,3,,1.0,1,64
11.0,62,2.0,3.0,1,5.0,82,2,1.0,3,3,1,0,4,1.0,2.0,0,64
17.0,71,2.0,,1,8.0,90,2,1.0,5,2,1,1,1,3.0,3.0,0,67
25.0,91,2.0,2.0,0,8.0,72,1,1.0,2,2,1,1,0,3.0,1.0,0,71
21.0,95,2.0,2.0,0,5.0,62,3,1.0,1,2,1,1,4,,1.0,0,70
13.0,69,2.0,1.0,1,9.0,96,1,1.0,0,3,1,0,4,,3.0,1,61
21.0,79,2.0,3.0,1,7.0,66,1,1.0,2,1,1,-1,4,1.0,2.0,0,67
22.0,79,3.0,2.0,0,5.0,100,2,1.0,4,3,1,-1,3,1.0,1.0,0,72
15.0,95,1.0,1.0,1,6.0,88,1,1.0,1,1,1,-1,5,,1.0,0,66
21.0,91,2.0,,1,,84,2,1.0,1,3,1,0,2,,1.0,0,70
20.0,81,3.0,2.0,1,6.0,51,3,0.0,3,2,1,0,4,,1.0,0,67
13.0,87,3.0,1.0,1,4.0,72,2,1.0,2,2,1,0,3,,2.0,1,67
22.0,94,1.0,2.0,1,,75,3,1.0,2,3,1,0,2,1.0,1.0,1,71
23.0,60,3.0,2.0,1,8.0,69,2,1.0,1,1,1,1,4,1.0,1.0,0,66
26.0,76,2.0,2.0,1,5.0,57,2,1.0,1,2,1,1,4,,1.0,0,68
26.0,96,2.0,2.0,1,7.0,68,2,1.0,3,3,1,1,3,1.0,1.0,1,74
12.0,90,2.0,1.0,1,6.0,54,2,0.0,1,3,1,0,3,,1.0,0,64
,82,2.0,2.0,0,8.0,65,2,1.0,1,1,1,1,3,1.0,1.0,0,65
23.0,81,1.0,2.0,1,4.0,54,2,1.0,1,1,1,0,3,1.0,1.0,0,66
23.0,74,2.0,3.0,1,8.0,88,1,1.0,0,2,1,-1,3,,1.0,0,66
,81,,1.0,0,,84,2,1.0,2,2,1,1,5,,1.0,0,68
,86,3.0,2.0,1,7.0,97,2,1.0,2,2,1,1,1,,1.0,1,78
23.0,77,2.0,3.0,1,6.0,69,1,1.0,1,2,1,1,2,,2.0,1,67
27.0,89,2.0,3.0,1,6.0,89,2,1.0,3,2,1,1,3,,1.0,0,74
,94,2.0,3.0,0,5.0,79,3,1.0,1,1,1,1,2,3.0,1.0,0,74
24.0,66,2.0,1.0,0,9.0,82,1,1.0,1,2,1,0,2,,1.0,1,62
18.0,78,3.0,2.0,1,,77,2,0.0,2,2,1,0,4,,3.0,0,66
,76,2.0,,1,5.0,89,3,1.0,3,2,1,0,3,,3.0,1,69
15.0,87,2.0,3.0,1,10.0,52,2,1.0,2,1,1,1,3,1.0,1.0,0,68
19.0,70,2.0,1.0,0,7.0,54,3,1.0,0,2,1,1,2,,2.0,0,89
17.0,86,3.0,1.0,0,5.0,55,1,0.0,2,3,1,0,4,1.0,1.0,0,66
20.0,95,1.0,,1,7.0,64,1,0.0,2,2,1,0,3,,1.0,1,68
34.0,77,2.0,1.0,1,7.0,80,1,1.0,0,2,1,1,3,,1.0,0,69
9.0,96,2.0,2.0,1,4.0,82,3,0.0,0,1,1,1,4,1.0,1.0,0,67
24.0,100,,3.0,1,6.0,86,1,1.0,2,2,1,1,5,,1.0,0,75
10.0,64,,3.0,0,7.0,64,3,1.0,0,2,1,1,4,,2.0,1,60
17.0,69,3.0,2.0,1,9.0,83,2,,2,2,1,1,4,1.0,2.0,1,66
27.0,98,,,1,,56,1,,1,3,1,1,3,1.0,1.0,1,73
20.0,98,2.0,1.0,0,7.0,50,1,1.0,1,2,1,0,2,,1.0,1,68
14.0,64,2.0,2.0,1,,85,2,1.0,0,2,1,0,3,,1.0,0,62
16.0,61,2.0,2.0,0,9.0,86,1,1.0,2,1,1,1,2,,1.0,0,62
24.0,66,,1.0,1,8.0,81,3,1.0,1,2,1,0,4,,3.0,0,65
16.0,100,3.0,1.0,1,8.0,63,3,1.0,2,1,1,-1,3,,2.0,0,69
21.0,67,2.0,2.0,0,,96,1,,3,1,1,0,2,,3.0,1,64
20.0,80,2.0,3.0,0,5.0,94,2,,0,1,1,1,4,3.0,2.0,1,67
16.0,94,,3.0,1,,76,2,1.0,0,1,1,0,2,,1.0,0,70
33.0,61,,2.0,0,7.0,99,3,1.0,2,2,1,0,3,1.0,1.0,1,70
24.0,84,3.0,1.0,0,7.0,65,1,1.0,3,2,1,1,3,,1.0,1,69
8.0,71,3.0,1.0,0,8.0,75,2,1.0,0,2,1,1,3,,1.0,0,61
21.0,94,,2.0,0,7.0,96,1,1.0,0,2,1,0,2,3.0,2.0,0,69
16.0,71,3.0,2.0,1,,73,2,1.0,1,2,1,0,0,,1.0,0,63
25.0,87,2.0,1.0,1,7.0,74,1,1.0,0,2,1,0,4,,1.0,0,67
15.0,87,1.0,2.0,0,4.0,54,2,1.0,1,2,1,0,6,,2.0,0,65
19.0,69,2.0,2.0,1,7.0,61,3,1.0,3,3,1,0,4,,2.0,0,66
23.0,61,1.0,2.0,0,,58,2,1.0,4,2,1,0,2,,1.0,0,63
25.0,76,2.0,3.0,1,4.0,78,2,,2,2,1,-1,3,,2.0,1,68
13.0,72,3.0,3.0,0,7.0,66,2,1.0,0,1,1,0,4,3.0,1.0,0,65
18.0,92,1.0,,1,8.0,54,2,,1,2,1,1,3,,1.0,0,67
17.0,92,1.0,1.0,1,8.0,75,2,1.0,2,2,1,0,3,3.0,1.0,1,68
16.0,78,2.0,3.0,0,,83,2,1.0,0,1,1,0,3,1.0,1.0,0,64
31.0,84,2.0,2.0,0,5.0,87,3,1.0,0,2,1,1,3,1.0,2.0,0,71
22.0,84,2.0,,1,6.0,92,1,1.0,0,2,1,0,5,,1.0,1,69
12.0,93,2.0,2.0,1,9.0,74,1,1.0,1,2,1,0,3,3.0,2.0,0,67
26.0,77,1.0,,0,4.0,70,1,,2,3,1,0,3,1.0,2.0,1,65
33.0,71,1.0,2.0,0,5.0,84,2,1.0,1,2,1,1,2,,1.0,0,68
26.0,71,3.0,2.0,1,6.0,51,1,0.0,1,3,1,1,3,3.0,2.0,0,67
11.0,81,2.0,2.0,1,6.0,82,3,1.0,3,2,1,0,4,,1.0,0,67
17.0,78,2.0,3.0,1,7.0,70,2,0.0,2,1,1,1,3,,1.0,0,66
28.0,78,3.0,2.0,0,9.0,73,3,,2,2,1,0,4,1.0,2.0,1,70
16.0,64,3.0,1.0,1,5.0,65,2,1.0,3,2,1,1,4,3.0,2.0,1,65
23.0,89,,1.0,1,7.0,56,1,1.0,4,2,1,1,4,3.0,1.0,1,69
25.0,69,2.0,2.0,1,7.0,70,1,,1,3,1,1,4,,3.0,1,65
14.0,68,3.0,2.0,0,6.0,65,2,1.0,1,3,1,0,3,1.0,1.0,0,63
20.0,77,2.0,2.0,0,5.0,98,1,1.0,2,1,1,0,2,3.0,3.0,1,67
,69,3.0,2.0,1,6.0,97,2,1.0,1,1,1,1,3,,1.0,1,61
14.0,83,2.0,1.0,1,6.0,82,2,1.0,0,2,1,1,2,,1.0,1,65
18.0,75,1.0,3.0,1,8.0,95,2,1.0,1,1,1,0,2,1.0,1.0,1,66
,78,2.0,3.0,1,8.0,88,3,1.0,0,3,1,0,3,1.0,1.0,0,66
30.0,81,2.0,1.0,1,5.0,67,2,1.0,1,3,1,-1,1,,1.0,0,69
11.0,68,2.0,2.0,0,6.0,80,2,,2,2,1,1,3,1.0,2.0,1,63
17.0,66,1.0,3.0,0,6.0,61,2,1.0,1,3,1,1,6,3.0,1.0,0,65
21.0,95,1.0,1.0,0,10.0,84,1,1.0,0,3,1,0,4,,1.0,0,67
29.0,77,3.0,,1,7.0,52,2,1.0,2,3,1,-1,3,,1.0,1,69
11.0,76,1.0,2.0,1,5.0,92,2,1.0,4,2,1,-1,2,3.0,1.0,0,65
27.0,61,2.0,2.0,0,6.0,79,2,1.0,1,1,1,1,3,,2.0,0,65
20.0,80,,1.0,1,6.0,53,2,1.0,0,1,1,0,2,1.0,2.0,0,65
14.0,82,2.0,3.0,1,8.0,94,1,1.0,2,1,1,-1,5,1.0,3.0,1,67
23.0,82,1.0,2.0,1,8.0,94,2,,1,2,1,-1,2,,,0,66
21.0,88,2.0,3.0,0,7.0,93,2,1.0,4,1,1,1,3,,1.0,1,72
16.0,67,2.0,3.0,0,7.0,89,3,1.0,3,1,1,1,3,1.0,1.0,0,66
20.0,70,2.0,2.0,1,7.0,84,1,0.0,2,2,1,0,4,1.0,3.0,0,65
18.0,92,3.0,,1,7.0,70,2,1.0,1,1,1,0,3,,2.0,0,69
21.0,98,2.0,1.0,0,,57,2,1.0,2,3,1,0,2,,1.0,1,68
,65,2.0,1.0,0,7.0,64,1,1.0,1,3,1,0,1,3.0,1.0,0,64
30.0,80,1.0,,0,6.0,67,2,1.0,3,2,1,-1,4,1.0,2.0,1,69
13.0,69,2.0,1.0,1,5.0,68,1,1.0,0,3,1,1,1,,2.0,1,59
33.0,62,3.0,2.0,1,10.0,78,2,1.0,0,2,1,1,3,,2.0,1,68
8.0,73,2.0,2.0,0,7.0,60,2,0.0,0,3,1,0,3,,1.0,1,60
19.0,66,2.0,3.0,0,,59,2,1.0,1,3,1,-1,3,,3.0,0,62
,88,1.0,2.0,1,6.0,86,1,1.0,0,1,1,-1,3,1.0,1.0,0,67
,81,1.0,3.0,1,8.0,50,3,1.0,4,2,1,1,5,,3.0,1,68
,66,2.0,3.0,1,5.0,57,3,1.0,3,2,1,1,3,,2.0,1,64
19.0,60,2.0,3.0,1,7.0,72,3,1.0,3,1,1,1,3,,2.0,1,65
